"interaction.coefficient" "true.nde" "true.nie" "est.nde" "est.nie" "nde.bias" "nie.bias" "nde.percent.bias" "nie.percent.bias" "nde.coverage" "nie.coverage"
"1" 0 5 25 5.00249643369505 149.683091668089 0.00249643369505156 124.683091668089 0.000499286739010312 4.98732366672354 0.98 0
"2" 0.02 6.07922571764075 25.1 6.21656546453049 155.289291178747 0.137339746889737 130.189291178747 0.0225928660112544 5.18682434975087 0.95 0
"3" 0.04 7.15845166691835 25.2 7.43905217171123 162.50017059599 0.280600504792885 137.30017059599 0.0391988286665962 5.44841946809484 0.79 0
"4" 0.06 8.23816398282572 25.3 8.64376513327208 169.499677899504 0.405601150446357 144.199677899504 0.0492336113513892 5.6995920118381 0.66 0
"5" 0.08 9.31660847578503 25.4 9.80607145794739 174.468854279833 0.489462982162359 149.068854279833 0.0525366907709875 5.86885253070208 0.53 0
"6" 0.1 10.3961580064113 25.5 11.033583312575 180.73051078022 0.637425306163681 155.23051078022 0.0613126760121597 6.08747101098902 0.27 0
"7" 0.12 11.4758937996144 25.6 12.2778019601178 186.702371844858 0.801908160503338 161.102371844858 0.069876639562515 6.29306140018978 0.12 0
"8" 0.14 12.5543254951406 25.7 13.4604840275379 192.794072067615 0.906158532397319 167.094072067615 0.0721781152485763 6.50171486644416 0.07 0
"9" 0.16 13.6327182725811 25.8 14.6712211686998 198.523017401335 1.03850289611874 172.723017401335 0.0761767424215224 6.69469059695098 0.02 0
"10" 0.18 14.7149202315962 25.9 15.9027120693807 205.300456400136 1.18779183778452 179.400456400136 0.0807203881527231 6.92665854826781 0 0
"11" 0.2 15.7908671656538 26 17.1004691972961 210.607470349057 1.30960203164235 184.607470349057 0.0829335251241905 7.10028732111757 0 0
"12" 0.22 16.8728249687727 26.1 18.3173553452987 217.306599556231 1.44453037652605 191.206599556231 0.0856110789373472 7.32592335464486 0 0
"13" 0.24 17.9503339438714 26.2 19.5165001870766 222.586363760755 1.56616624320523 196.386363760755 0.0872479599650722 7.4956627389601 0 0
"14" 0.26 19.0297383964838 26.3 20.7174544090183 230.018686526784 1.68771601253454 203.718686526784 0.0886878679523249 7.74595766261537 0 0
"15" 0.28 20.1065793745624 26.4 21.8957947631287 235.453529074519 1.7892153885663 209.053529074519 0.0889860233273488 7.91869428312573 0 0
"16" 0.3 21.1879150289847 26.5 23.1286284275186 241.116843041981 1.94071339853395 214.616843041981 0.0915955634823391 8.09874879403701 0 0
"17" 0.32 22.2681407705955 26.6 24.3239005736584 247.188236188825 2.05575980306284 220.588236188825 0.092316968411 8.29279083416635 0 0
"18" 0.34 23.3462121564908 26.7 25.5769964407068 253.275157205709 2.23078428421602 226.575157205709 0.0955520847872464 8.48596094403405 0 0
"19" 0.36 24.4251222014965 26.8 26.758605860267 259.806624282074 2.33348365877054 233.006624282074 0.0955349341717654 8.69427702545053 0 0
"20" 0.38 25.5027358932264 26.9 27.9768778733943 265.671555393036 2.47414198016792 238.771555393036 0.0970136011389048 8.87626599974113 0 0
"21" 0.4 26.5835338831027 27 29.1596036715517 273.079991260792 2.57606978844897 246.079991260792 0.0969040484508371 9.11407375039971 0 0
"22" 0.42 27.66491468711 27.1 30.3798716654455 277.755090385453 2.71495697833554 250.655090385453 0.0981368523230039 9.2492653278765 0 0
"23" 0.44 28.7460035760822 27.2 31.6518284938129 284.951341153646 2.90582491773074 257.751341153646 0.101086195707476 9.4761522482958 0 0
"24" 0.46 29.8224276119632 27.3 32.7994943973446 290.461396779224 2.97706678538135 263.161396779224 0.099825523231109 9.63961160363457 0 0
"25" 0.48 30.9010998696608 27.4 34.011438229218 295.694503750059 3.11033835955719 268.294503750059 0.100655509219363 9.79177020985616 0 0
"26" 0.5 31.9783423324659 27.5 35.1857719479204 301.31850440062 3.20742961545451 273.81850440062 0.10030111169384 9.95703652365893 0 0
"27" 0.52 33.0573172821218 27.6 36.4689817520257 308.035016512756 3.4116644699039 280.435016512756 0.103203435276232 10.1606890040853 0 0
"28" 0.54 34.1388773339274 27.7 37.7129731879165 314.423570906233 3.57409585398914 286.723570906233 0.104692787801441 10.3510314406582 0 0
"29" 0.56 35.2142923453729 27.8 38.8696152100067 321.707779828277 3.65532286463377 293.907779828276 0.10380208822176 10.5722222959812 0 0
"30" 0.58 36.2968563223951 27.9 40.0689762626691 327.370405671414 3.77211994027404 299.470405671414 0.103923956383321 10.7337062964664 0 0
"31" 0.6 37.3727892196073 28 41.289130946763 333.041435086672 3.91634172715571 305.041435086672 0.104790967126579 10.8943369673811 0 0
"32" 0.62 38.4532614431682 28.1 42.5410070085855 339.690505828341 4.08774556541732 311.590505828341 0.106302407155564 11.0886301006527 0 0
"33" 0.64 39.5312064089353 28.2 43.7393029944257 345.313638752721 4.20809658549037 317.113638752721 0.106450303567089 11.2451644947773 0 0
"34" 0.66 40.6164536589783 28.3 44.9709330075359 351.813604340302 4.35447934855759 323.513604340302 0.107210250618725 11.431576125099 0 0
"35" 0.68 41.6988323349706 28.4 46.0929992544411 358.901371193984 4.39416691947055 330.501371193984 0.105375933007078 11.6373722251403 0 0
"36" 0.7 42.7717990001574 28.5 47.3451539223826 364.021150613833 4.57335492222523 335.521150613833 0.106924258931592 11.7726719513626 0 0
"37" 0.72 43.8487684541175 28.6 48.5374484316167 369.50684237494 4.6886799774992 340.90684237494 0.106928930151223 11.9198196634594 0 0
"38" 0.74 44.9373543083088 28.7 49.6699065616296 374.399372627736 4.73255225332076 345.699372627736 0.10531472910673 12.0452743075866 0 0
"39" 0.76 46.0114034900704 28.8 50.893513845032 381.828356678422 4.88211035496165 353.028356678422 0.106106603980466 12.2579290513341 0 0
"40" 0.78 47.0888042770579 28.9 52.1603576385922 387.321179115494 5.0715533615343 358.421179115494 0.107702287704123 12.4021169244116 0 0
"41" 0.8 48.1635732883216 29 53.3848246737589 393.185812728772 5.22125138543732 364.185812728772 0.10840643372437 12.5581314734059 0 0
"42" 0.82 49.2462546838118 29.1 54.4651957119057 399.260091425301 5.2189410280939 370.160091425301 0.105975654506886 12.7202780558523 0 0
"43" 0.84 50.325235619716 29.2 55.7879773912284 405.868096604665 5.46274177151241 376.668096604665 0.108548263621825 12.8995923494748 0 0
"44" 0.86 51.4083433149509 29.3 57.0457929724739 412.64280373722 5.63744965752291 383.34280373722 0.109661098613519 13.083372141202 0 0
"45" 0.88 52.4859224248492 29.4 58.2011200502936 418.373244182023 5.71519762544444 388.973244182023 0.108890731710565 13.2303824551708 0 0
"46" 0.9 53.5634422382565 29.5 59.3547796761701 424.319182079803 5.7913374379136 394.819182079803 0.108121641014129 13.383701087451 0 0
"47" 0.92 54.6409832435367 29.6 60.4602783398691 430.236183986841 5.81929509633241 400.636183986841 0.106501091336694 13.5350062157716 0 0
"48" 0.94 55.7200938103065 29.7 61.8384103117306 437.464402831281 6.11831650142413 407.764402831281 0.109804548934629 13.7294411727704 0 0
"49" 0.96 56.8016243326218 29.8 63.1103029555411 442.82687718982 6.30867862291932 413.02687718982 0.111064631933034 13.859962321806 0 0
"50" 0.98 57.8753887471786 29.9 64.2967494834655 449.730087916578 6.42136073628694 419.830087916578 0.110950555769476 14.0411400640996 0 0
"51" 1 58.9585307071919 30 65.438817156146 455.185183383238 6.48028644895405 425.185183383238 0.109912120106309 14.1728394461079 0 0
